MatrixSize,TimeSeconds
2,8e-09
4,6.4e-08
6,2.16e-07
8,5.12e-07
10,1.0000000000000002e-06
12,1.728e-06
14,2.7440000000000003e-06
16,4.096e-06
18,5.832e-06
20,8.000000000000001e-06
22,1.0648e-05
24,1.3824e-05
26,1.7576000000000002e-05
28,2.1952000000000003e-05
30,2.7000000000000002e-05
32,3.2768e-05
34,3.9304e-05
36,4.6656e-05
38,5.4872000000000006e-05
40,6.400000000000001e-05
42,7.4088e-05
44,8.5184e-05
46,9.7336e-05
48,0.000110592
50,0.000125
52,0.00014060800000000002
54,0.000157464
56,0.00017561600000000002
58,0.00019511200000000003
60,0.00021600000000000002
62,0.00023832800000000003
64,0.000262144
66,0.00028749600000000004
68,0.000314432
70,0.00034300000000000004
72,0.000373248
74,0.00040522400000000004
76,0.00043897600000000005
78,0.00047455200000000005
80,0.0005120000000000001
82,0.000551368
84,0.000592704
86,0.0006360560000000001
88,0.000681472
90,0.000729
92,0.000778688
94,0.0008305840000000001
96,0.000884736
98,0.0009411920000000001
100,0.001
102,0.0010612080000000001
104,0.0011248640000000002
106,0.001191016
108,0.001259712
110,0.0013310000000000002
112,0.0014049280000000002
114,0.001481544
116,0.0015608960000000002
118,0.001643032
120,0.0017280000000000002
122,0.0018158480000000001
124,0.0019066240000000002
126,0.0020003760000000003
128,0.002097152
130,0.002197
132,0.0022999680000000003
134,0.002406104
136,0.002515456
138,0.002628072
140,0.0027440000000000003
142,0.0028632880000000003
144,0.002985984
146,0.003112136
148,0.0032417920000000003
150,0.0033750000000000004
152,0.0035118080000000004
154,0.003652264
156,0.0037964160000000004
158,0.003944312
160,0.004096000000000001
162,0.004251528
164,0.004410944
166,0.004574296
168,0.004741632
170,0.004913000000000001
172,0.005088448000000001
174,0.0052680240000000005
176,0.005451776
178,0.0056397520000000005
180,0.005832
182,0.006028568000000001
184,0.006229504
186,0.006434856
188,0.006644672000000001
190,0.0068590000000000005
192,0.007077888
194,0.007301384
196,0.007529536000000001
198,0.007762392000000001
200,0.008
202,0.008242408
204,0.008489664000000001
206,0.008741816000000001
208,0.008998912000000001
210,0.009261
212,0.009528128
214,0.009800344
216,0.010077696
218,0.010360232
220,0.010648000000000001
222,0.010941048
224,0.011239424000000001
226,0.011543176
228,0.011852352
230,0.012167
232,0.012487168000000002
234,0.012812904
236,0.013144256
238,0.013481272
240,0.013824000000000001
242,0.014172488
244,0.014526784000000001
246,0.014886936000000002
248,0.015252992000000002
250,0.015625
252,0.016003008000000003
254,0.016387064
256,0.016777216
258,0.017173512000000002
260,0.017576
262,0.017984728000000002
264,0.018399744000000003
266,0.018821096000000002
268,0.019248832
270,0.019683000000000003
272,0.020123648
274,0.020570824
276,0.021024576
278,0.021484952
280,0.021952000000000003
282,0.022425768000000002
284,0.022906304000000002
286,0.023393656000000002
288,0.023887872
290,0.024389
292,0.024897088
294,0.025412184
296,0.025934336000000002
298,0.026463592
300,0.027000000000000003
302,0.027543608
304,0.028094464000000003
306,0.028652616000000002
308,0.029218112
310,0.029791
312,0.030371328000000003
314,0.030959144
316,0.031554496
318,0.032157432
320,0.032768000000000005
322,0.033386248
324,0.034012224
326,0.034645976
328,0.035287552
330,0.035937000000000004
332,0.036594368
334,0.037259704000000005
336,0.037933056
338,0.038614472000000004
340,0.039304000000000006
342,0.040001688
344,0.040707584000000005
346,0.041421736
348,0.042144192000000004
350,0.042875
352,0.043614208
354,0.044361864
356,0.045118016000000004
358,0.045882712000000006
360,0.046656
362,0.047437928000000004
364,0.048228544000000005
366,0.049027896
368,0.049836032
370,0.050653000000000004
372,0.051478848
374,0.052313624
376,0.053157376000000006
378,0.054010152000000006
380,0.054872000000000004
382,0.055742968000000004
384,0.056623104
386,0.057512456
388,0.058411072
390,0.059319000000000004
392,0.060236288000000006
394,0.061162984000000004
396,0.062099136000000006
398,0.063044792
400,0.064
402,0.064964808
404,0.065939264
406,0.066923416
408,0.06791731200000001
410,0.06892100000000001
412,0.06993452800000001
414,0.07095794400000001
416,0.07199129600000001
418,0.073034632
420,0.074088
422,0.07515144800000001
424,0.076225024
426,0.07730877600000001
428,0.078402752
430,0.07950700000000001
432,0.080621568
434,0.08174650400000001
436,0.082881856
438,0.08402767200000001
440,0.08518400000000001
442,0.086350888
444,0.087528384
446,0.088716536
448,0.08991539200000001
450,0.09112500000000001
452,0.092345408
454,0.093576664
456,0.094818816
458,0.09607191200000001
460,0.097336
462,0.098611128
464,0.09989734400000001
466,0.101194696
468,0.102503232
470,0.10382300000000001
472,0.105154048
474,0.106496424
476,0.107850176
478,0.109215352
480,0.11059200000000001
482,0.111980168
484,0.113379904
486,0.11479125600000001
488,0.11621427200000001
490,0.117649
492,0.11909548800000001
494,0.12055378400000001
496,0.12202393600000001
498,0.12350599200000001
500,0.125
502,0.126506008
504,0.12802406400000002
506,0.129554216
508,0.131096512
510,0.13265100000000002
512,0.134217728
514,0.135796744
516,0.13738809600000002
518,0.138991832
520,0.140608
522,0.14223664800000002
524,0.14387782400000002
526,0.145531576
528,0.14719795200000002
530,0.148877
532,0.15056876800000002
534,0.152273304
536,0.153990656
538,0.155720872
540,0.15746400000000002
542,0.159220088
544,0.160989184
546,0.16277133600000002
548,0.164566592
550,0.16637500000000002
552,0.168196608
554,0.17003146400000002
556,0.171879616
558,0.173741112
560,0.17561600000000002
562,0.17750432800000002
564,0.17940614400000002
566,0.181321496
568,0.18325043200000002
570,0.18519300000000002
572,0.18714924800000002
574,0.189119224
576,0.191102976
578,0.193100552
580,0.195112
582,0.197137368
584,0.199176704
