MatrixSize,TimeSeconds
2,4.172325134277344e-05
4,8.106231689453125e-06
6,4.649162292480469e-05
8,3.910064697265625e-05
10,1.811981201171875e-05
12,5.4836273193359375e-06
14,6.198883056640625e-06
16,6.67572021484375e-06
18,7.152557373046875e-06
20,8.106231689453125e-06
22,7.867813110351562e-06
24,1.3113021850585938e-05
26,1.0013580322265625e-05
28,9.5367431640625e-06
30,1.1205673217773438e-05
32,1.0728836059570312e-05
34,2.7179718017578125e-05
36,1.4543533325195312e-05
38,1.621246337890625e-05
40,1.6450881958007812e-05
42,1.9550323486328125e-05
44,2.0265579223632812e-05
46,2.7179718017578125e-05
48,2.8371810913085938e-05
50,2.6941299438476562e-05
52,2.47955322265625e-05
54,3.123283386230469e-05
56,3.62396240234375e-05
58,4.9114227294921875e-05
60,4.38690185546875e-05
62,4.887580871582031e-05
64,4.7206878662109375e-05
66,0.0023345947265625
68,0.00010323524475097656
70,5.4836273193359375e-05
72,4.363059997558594e-05
74,4.9591064453125e-05
76,0.00012755393981933594
78,5.412101745605469e-05
80,4.9591064453125e-05
82,6.914138793945312e-05
84,6.699562072753906e-05
86,7.867813110351562e-05
88,8.606910705566406e-05
90,7.939338684082031e-05
92,0.00013566017150878906
94,9.608268737792969e-05
96,8.726119995117188e-05
98,9.179115295410156e-05
100,0.00011563301086425781
102,0.00013446807861328125
104,0.00011086463928222656
106,0.00011515617370605469
108,0.00012683868408203125
110,0.0001404285430908203
112,0.00013208389282226562
114,0.00013208389282226562
116,0.0001442432403564453
118,0.00016999244689941406
120,0.00017952919006347656
122,0.00017714500427246094
124,0.00018215179443359375
126,0.00018978118896484375
128,0.00017213821411132812
130,0.0002803802490234375
132,0.0002574920654296875
134,0.0002562999725341797
136,0.0002512931823730469
138,0.0002560615539550781
140,0.00048279762268066406
142,0.0002772808074951172
144,0.000286102294921875
146,0.00029015541076660156
148,0.00030493736267089844
150,0.0003294944763183594
152,0.0003540515899658203
154,0.00035762786865234375
156,0.0003592967987060547
158,0.0003943443298339844
160,0.0003223419189453125
162,0.00038170814514160156
164,0.0003981590270996094
166,0.0003962516784667969
168,0.0004360675811767578
170,0.0004611015319824219
172,0.00045180320739746094
174,0.0004706382751464844
176,0.00045371055603027344
178,0.0004944801330566406
180,0.0005183219909667969
182,0.0005314350128173828
184,0.0005238056182861328
186,0.0005495548248291016
188,0.0005743503570556641
190,0.0005719661712646484
192,0.0005421638488769531
194,0.0005998611450195312
196,0.0005695819854736328
198,0.0006260871887207031
200,0.0006160736083984375
202,0.0006537437438964844
204,0.0006816387176513672
206,0.0006973743438720703
208,0.0006909370422363281
210,0.0007312297821044922
212,0.000751495361328125
214,0.0007891654968261719
216,0.0007658004760742188
218,0.0008320808410644531
220,0.0008752346038818359
222,0.0008578300476074219
224,0.0008034706115722656
226,0.0008978843688964844
228,0.0022695064544677734
230,0.0009796619415283203
232,0.0011210441589355469
234,0.0010111331939697266
236,0.0010287761688232422
238,0.0010662078857421875
240,0.001020193099975586
242,0.001066446304321289
244,0.001131296157836914
246,0.0011754035949707031
248,0.0013027191162109375
250,0.0012984275817871094
252,0.0012764930725097656
254,0.0016713142395019531
256,0.0012502670288085938
258,0.0012378692626953125
260,0.001451730728149414
262,0.004371166229248047
264,0.0014486312866210938
266,0.005815029144287109
268,0.001596212387084961
270,0.00475001335144043
272,0.001516103744506836
274,0.0015976428985595703
276,0.0015704631805419922
278,0.0017821788787841797
280,0.0016138553619384766
282,0.0016770362854003906
284,0.0017430782318115234
286,0.0017101764678955078
288,0.0016207695007324219
290,0.0017242431640625
292,0.0017766952514648438
294,0.0018570423126220703
296,0.0022208690643310547
298,0.002017974853515625
300,0.0020177364349365234
302,0.0020225048065185547
304,0.0019562244415283203
306,0.002048969268798828
308,0.002085447311401367
310,0.0021834373474121094
312,0.0021321773529052734
314,0.00226593017578125
